Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
41,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",25.7,[],kt,"[2023, 2022]",What is the average amount of hazardous waste obtained by summing the values related to the years 2023 and 2022 among the following companies in kt?,multistep_mean,306,25.7
42,"['OTC_ADDDF_2023', 'axa_2023']","['84', '179']","['0', '0']",5.72,['axa'],,[2022],What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_sup,305,5.72
43,"['NYSE_TTE_2023', 'OTC_DPSGY_2023']","['381', '3']","['0', '0']",2.16,['OTC_DPSGY'],,"[2023, 2022]",Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,multistep_sup,302,OTC_DPSGY
44,"['OTC_BAYZF_2023', 'OTC_RWNEF_2023']","['63', '79']","['0', '0']",83.7,['OTC_RWNEF'],million mt CO2e,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,multistep_sup,305,OTC_RWNEF
45,"['OTC_BAYZF_2023', 'OTC_RWNEF_2023']","['63', '79']","['0', '0']",83.7,['OTC_RWNEF'],million mt CO2e,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,multistep_sup,305,83.7
46,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023']","['141', '60']","['0', '0']",17.59,[],,[2023],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_mean,305,17.59
47,"['NYSE_TTE_2023', 'OTC_SU_2023']","['381', '310']","['0', '1']",[154.5    1.22],"['NYSE_TTE', 'OTC_SU']",TWh,"[2023, 2022, 2021, 2020]",Which companies have the top 2 highest values of average energy consumed in the last 4 years (sorted in descending order) among the following companies in TWh?,multistep_rank,302,"NYSE_TTE, OTC_SU"
48,"['OTC_BAMGF_2023', 'OTC_ESOCF_2023']","['310', '139']","['0', '0']",[ 9.89 80.6 ],"['OTC_BAMGF', 'OTC_ESOCF']",millions of m3,"[2023, 2022]",What are the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,multistep_rank,303,"9.89, 80.6"
49,"['NYSE_TTE_2023', 'prosiebensat1-media_2023']","['381', '64']","['0', '0']",66.59,['prosiebensat1-media'],,"[2023, 2022]",Which company has the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,multistep_sup,302,prosiebensat1-media
50,"['NYSE_TTE_2023', 'heidelberg-materials_2023']","['387', '358']","['3', '0']",4.62,['NYSE_TTE'],,"[2023, 2022]",Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,multistep_sup,306,NYSE_TTE
51,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['63', '137']","['0', '0']",98.83,['OTC_ESOCF'],MtCO2eq,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,multistep_sup,305,OTC_ESOCF
52,"['OTC_RWNEF_2023', 'munich-re_2023']","['79', '46']","['0', '0']",109300000.0,['OTC_RWNEF'],tCO2e,[2022],What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,multistep_sup,305,109300000.0
53,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023']","['141', '63']","['0', '0']",1900000.0,['OTC_BAYZF'],tCO2-eq,"[2023, 2022]",Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,multistep_sup,305,OTC_BAYZF
54,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023']","['84', '63']","['0', '0']",0.7,[],,"[2023, 2022]",What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,multistep_mean,305,0.7
55,"['NYSE_AZ_2023', 'OTC_ADDDF_2023']","['60', '84']","['0', '0']",[31363.5 21817.5],"['NYSE_AZ', 'OTC_ADDDF']",tons CO2e,"[2023, 2022]",Which companies have the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tons CO2e?,multistep_rank,305,"NYSE_AZ, OTC_ADDDF"
56,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023']","['310', '132']","['0', '0']",6.72,['OTC_BAYZF'],million cubic meters,"[2023, 2022]",What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in million cubic meters?,multistep_sup,303,6.72
57,"['NYSE_AZ_2023', 'munich-re_2023']","['60', '46']","['0', '0']",3086777,['munich-re'],tCO2e,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,multistep_sup,305,munich-re
58,"['OTC_SU_2023', 'heidelberg-materials_2023']","['310', '374']","['1', '0']",[ 1217031.33 96302762.23],"['OTC_SU', 'heidelberg-materials']",MWh,"[2023, 2022, 2021]",What are the top 2 highest values of average energy consumed in the last 3 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"1217031.33, 96302762.23"
59,"['OTC_SU_2023', 'deutsche-telekom-ag_2023']","['310', '46']","['1', '0']",7.64,['deutsche-telekom-ag'],,"[2023, 2022]",What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,7.64
60,"['NYSE_TTE_2023', 'OTC_SU_2023']","['381', '310']","['0', '1']",60.1,['OTC_SU'],,"[2023, 2022]",Which company has the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,multistep_sup,302,OTC_SU
61,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",[7.92 6.  ],"['vivendi', 'heidelberg-materials']",,[2023],Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,multistep_rank,306,"vivendi, heidelberg-materials"
62,"['NYSE_TTE_2023', 'OTC_SU_2023']","['387', '309']","['3', '0']",[ 15.66 378.  ],"['OTC_SU', 'NYSE_TTE']",kt,"[2023, 2022]",What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in kt?,multistep_rank,306,"15.66, 378.0"
63,"['NYSE_TTE_2023', 'OTC_SU_2023']","['381', '310']","['0', '1']",4867939.0,['OTC_SU'],MWh,"[2023, 2022, 2021, 2020]",What is the lowest total energy consumption over the last 4 years among the following companies in MWh?,multistep_sup,302,4867939.0
64,"['OTC_ADDDF_2023', 'munich-re_2023']","['84', '46']","['0', '0']",7799933.0,['OTC_ADDDF'],tCO2e,[2022],What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,multistep_sup,305,7799933.0
65,"['OTC_DPSGY_2023', 'prosiebensat1-media_2023']","['3', '64']","['0', '0']",69615.35,[],million kWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,multistep_sum,302,69615.35
66,"['munich-re_2023', 'vivendi_2023']","['46', '105']","['0', '0']",1.24,[],,[2023],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_mean,305,1.24
67,"['NYSE_TTE_2023', 'prosiebensat1-media_2023']","['381', '64']","['0', '0']",66.59,['prosiebensat1-media'],,"[2023, 2022]",What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,multistep_sup,302,66.59
68,"['NYSE_TTE_2023', 'OTC_DPSGY_2023']","['381', '3']","['0', '0']",5.0,[],,[2023],What is the average percentage of energy consumption from renewable sources in 2023 among the following companies?,multistep_mean,302,5.0
69,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023']","['117', '381']","['0', '0']",161.5,['NYSE_TTE'],TWh,"[2023, 2022]",Which company has the highest average energy consumed in the last 2 years among the following companies in TWh?,multistep_sup,302,NYSE_TTE
70,"['heidelberg-materials_2023', 'munich-re_2023']","['374', '47']","['0', '1']",[338421.5    1016.31],"['heidelberg-materials', 'munich-re']",TJ,"[2023, 2022]",What are the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TJ?,multistep_rank,302,"338421.5, 1016.31"
71,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023']","['141', '60']","['0', '0']",248676.0,['NYSE_AZ'],tCO2e,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,multistep_sup,305,248676.0
72,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023']","['141', '60']","['0', '0']",32.84,['NYSE_AZ'],,[2023],What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_sup,305,32.84
73,"['NYSE_TTE_2023', 'OTC_SU_2023']","['387', '309']","['3', '0']",196.83,[],kt,"[2023, 2022]",What is the average amount of hazardous waste obtained by summing the values related to the years 2023 and 2022 among the following companies in kt?,multistep_mean,306,196.83
74,"['OTC_SU_2023', 'prosiebensat1-media_2023']","['310', '64']","['1', '0']",66.12,['prosiebensat1-media'],,[2022],Which company has the largest percentage of energy consumption from renewable sources in 2022 among the following companies?,multistep_sup,302,prosiebensat1-media
75,"['NYSE_AZ_2023', 'OTC_BAYZF_2023']","['60', '63']","['0', '0']",33.47,['NYSE_AZ'],,[2022],Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_sup,305,NYSE_AZ
76,"['NYSE_TTE_2023', 'OTC_SU_2023']","['387', '309']","['3', '0']",[378.    15.66],"['NYSE_TTE', 'OTC_SU']",kt,"[2023, 2022]",What are the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in kt?,multistep_rank,306,"378.0, 15.66"
77,"['OTC_RWNEF_2023', 'vivendi_2023']","['79', '105']","['0', '0']",286.57,['OTC_RWNEF'],,[2023],Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_sup,305,OTC_RWNEF
78,"['deutsche-telekom-ag_2023', 'munich-re_2023']","['46', '47']","['0', '1']",26058.61,[],GWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in GWh?,multistep_sum,302,26058.61
79,"['OTC_SU_2023', 'heidelberg-materials_2023']","['310', '374']","['1', '0']",3651094.0,['OTC_SU'],MWh,"[2023, 2022, 2021]",What is the lowest total energy consumption over the last 3 years among the following companies in MWh?,multistep_sup,302,3651094.0
80,"['NASDAQ_DASTY_2023', 'OTC_SU_2023']","['117', '310']","['0', '1']",10.18,[],,"[2023, 2022]",What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_mean,302,10.18
81,"['NASDAQ_DASTY_2023', 'prosiebensat1-media_2023']","['117', '64']","['0', '0']",220334.0,[],MWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in MWh?,multistep_sum,302,220334.0
82,"['NYSE_TTE_2023', 'munich-re_2023']","['381', '47']","['0', '1']",[  0.28 161.5 ],"['munich-re', 'NYSE_TTE']",TWh,"[2023, 2022]",What are the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in TWh?,multistep_rank,302,"0.28, 161.5"
83,"['OTC_BAMGF_2023', 'munich-re_2023']","['310', '47']","['0', '0']",[ 909727 9889305],"['munich-re', 'OTC_BAMGF']",m3,"[2023, 2022]",Which companies have the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,multistep_rank,303,"munich-re, OTC_BAMGF"
84,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023']","['141', '60']","['0', '0']",248676.0,['NYSE_AZ'],tCO2e,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,multistep_sup,305,NYSE_AZ
85,"['OTC_BAYZF_2023', 'munich-re_2023']","['63', '46']","['0', '0']",10.52,[],,[2022],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_mean,305,10.52
86,"['deutsche-telekom-ag_2023', 'munich-re_2023']","['46', '47']","['0', '1']",[12747.     282.31],"['deutsche-telekom-ag', 'munich-re']",GWh,"[2023, 2022]",Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in GWh?,multistep_rank,302,"deutsche-telekom-ag, munich-re"
87,"['OTC_RWNEF_2023', 'axa_2023']","['79', '179']","['0', '0']",0.96,['axa'],million mt CO2e,"[2023, 2022]",What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in million mt CO2e?,multistep_sup,305,0.96
88,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",13.99,[],,[2022],What is the average percentage of hazardous waste generated in 2022 among the following companies?,multistep_mean,306,13.99
89,"['NASDAQ_DASTY_2023', 'heidelberg-materials_2023']","['117', '374']","['0', '0']",47.2,[],,[2022],What is the average percentage of energy consumption from renewable sources in 2022 among the following companies?,multistep_mean,302,47.2
90,"['OTC_DPSGY_2023', 'heidelberg-materials_2023']","['3', '374']","['0', '0']",[120042.   346689.67],"['OTC_DPSGY', 'heidelberg-materials']",TJ,"[2023, 2022, 2021]",Which companies have the top 2 highest values of average energy consumed in the last 3 years (sorted in ascending order) among the following companies in TJ?,multistep_rank,302,"OTC_DPSGY, heidelberg-materials"
91,"['OTC_BAYZF_2023', 'munich-re_2023']","['63', '46']","['0', '0']",[1.9  0.04],"['OTC_BAYZF', 'munich-re']",Million metric tons of CO2 equivalents,"[2023, 2022]",Which companies have the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,multistep_rank,305,"OTC_BAYZF, munich-re"
92,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023']","['141', '60']","['0', '0']",32.84,['NYSE_AZ'],,[2023],Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_sup,305,NYSE_AZ
93,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023']","['141', '63']","['0', '0']",1900000.0,['OTC_BAYZF'],tCO2-eq,"[2023, 2022]",What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,multistep_sup,305,1900000.0
94,"['OTC_RWNEF_2023', 'vivendi_2023']","['79', '105']","['0', '0']",286.57,['OTC_RWNEF'],,[2023],What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_sup,305,286.57
95,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023']","['117', '381']","['0', '0']",13.95,['NASDAQ_DASTY'],,"[2023, 2022]",What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,13.95
96,"['OTC_ESOCF_2023', 'munich-re_2023']","['139', '47']","['0', '0']",40754863.5,[],m3,"[2023, 2022]","What is the average total water consumption across the following companies, calculated as the sum of their 2023 and 2022 consumption in m3?",multistep_mean,303,40754863.5
97,"['OTC_CRERF_2023', 'heidelberg-materials_2023']","['79', '358']","['0', '0']",14.31,['OTC_CRERF'],,"[2023, 2022]",Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,multistep_sup,306,OTC_CRERF
98,"['NYSE_AZ_2023', 'OTC_BAYZF_2023']","['60', '63']","['0', '0']",26.56,[],,[2022],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_mean,305,26.56
99,"['NYSE_TTE_2023', 'deutsche-telekom-ag_2023']","['381', '46']","['0', '0']",154500.0,['NYSE_TTE'],GWh,"[2023, 2022, 2021, 2020]",What is the highest average energy consumed in the last 4 years among the following companies in GWh?,multistep_sup,302,154500.0
100,"['NYSE_TTE_2023', 'heidelberg-materials_2023']","['381', '374']","['0', '0']",157.0,['NYSE_TTE'],TWh,"[2023, 2022, 2021]",What is the highest average energy consumed in the last 3 years among the following companies in TWh?,multistep_sup,302,157.0
101,"['OTC_DPSGY_2023', 'prosiebensat1-media_2023']","['3', '64']","['0', '0']",36.34,[],,[2022],What is the average percentage of energy consumption from renewable sources in 2022 among the following companies?,multistep_mean,302,36.34
102,"['OTC_SU_2023', 'prosiebensat1-media_2023']","['310', '64']","['1', '0']",[  33175.  1162801.5],"['prosiebensat1-media', 'OTC_SU']",MWh,"[2023, 2022]",What are the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"33175.0, 1162801.5"
103,"['OTC_ADDDF_2023', 'axa_2023']","['84', '179']","['0', '0']",[21490.  21817.5],"['axa', 'OTC_ADDDF']",tons CO2e,"[2023, 2022]",What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tons CO2e?,multistep_rank,305,"21490.0, 21817.5"
